Month,Year,State Name,AQI,Category
1,2020,Alabama,36.4,Good
2,2020,Alabama,34.6,Good
3,2020,Alabama,41.1,Good
4,2020,Alabama,44.2,Good
5,2020,Alabama,42.2,Good
6,2020,Alabama,42.9,Good
7,2020,Alabama,38.6,Good
8,2020,Alabama,43.7,Good
9,2020,Alabama,40.3,Good
10,2020,Alabama,41.4,Good
11,2020,Alabama,45.4,Good
12,2020,Alabama,46.6,Good
1,2021,Alabama,40.5,Good
2,2021,Alabama,42.1,Good
3,2021,Alabama,45.2,Good
4,2021,Alabama,47.5,Good
5,2021,Alabama,45.2,Good
6,2021,Alabama,40.3,Good
7,2021,Alabama,41.3,Good
8,2021,Alabama,43.0,Good
9,2021,Alabama,38.4,Good
10,2021,Alabama,37.5,Good
11,2021,Alabama,43.6,Good
12,2021,Alabama,39.9,Good
1,2022,Alabama,38.4,Good
2,2022,Alabama,43.3,Good
3,2022,Alabama,46.5,Good
4,2022,Alabama,44.8,Good
5,2022,Alabama,44.6,Good
6,2022,Alabama,49.9,Good
7,2022,Alabama,38.6,Good
8,2022,Alabama,35.8,Good
9,2022,Alabama,42.9,Good
10,2022,Alabama,43.9,Good
11,2022,Alabama,42.1,Good
12,2022,Alabama,34.2,Good
1,2023,Alabama,37.2,Good
2,2023,Alabama,42.8,Good
3,2023,Alabama,49.9,Good
4,2023,Alabama,45.9,Good
5,2023,Alabama,49.5,Good
6,2023,Alabama,57.1,Moderate
7,2023,Alabama,49.1,Good
8,2023,Alabama,47.8,Good
9,2023,Alabama,46.9,Good
10,2023,Alabama,40.3,Good
11,2023,Alabama,39.1,Good
12,2023,Alabama,32.7,Good
1,2024,Alabama,29.8,Good
2,2024,Alabama,39.7,Good
3,2024,Alabama,42.0,Good
4,2024,Alabama,45.7,Good
5,2024,Alabama,43.1,Good
6,2024,Alabama,46.0,Good
7,2024,Alabama,38.9,Good
8,2024,Alabama,49.2,Good
9,2024,Alabama,39.5,Good
10,2024,Alabama,45.2,Good
11,2024,Alabama,34.9,Good
12,2024,Alabama,36.8,Good
1,2025,Alabama,34.3,Good
2,2025,Alabama,41.6,Good
3,2025,Alabama,46.8,Good
4,2025,Alabama,43.2,Good
1,2020,Alaska,41.9,Good
2,2020,Alaska,28.9,Good
3,2020,Alaska,26.9,Good
4,2020,Alaska,25.6,Good
5,2020,Alaska,24.4,Good
6,2020,Alaska,18.4,Good
7,2020,Alaska,20.2,Good
8,2020,Alaska,18.7,Good
9,2020,Alaska,20.7,Good
10,2020,Alaska,30.1,Good
11,2020,Alaska,39.8,Good
12,2020,Alaska,36.0,Good
1,2021,Alaska,43.4,Good
2,2021,Alaska,37.3,Good
3,2021,Alaska,30.8,Good
4,2021,Alaska,29.2,Good
5,2021,Alaska,23.0,Good
6,2021,Alaska,21.5,Good
7,2021,Alaska,27.2,Good
8,2021,Alaska,20.0,Good
9,2021,Alaska,20.0,Good
10,2021,Alaska,24.7,Good
11,2021,Alaska,34.3,Good
12,2021,Alaska,41.3,Good
1,2022,Alaska,42.1,Good
2,2022,Alaska,28.4,Good
3,2022,Alaska,27.2,Good
4,2022,Alaska,29.1,Good
5,2022,Alaska,24.9,Good
6,2022,Alaska,43.7,Good
7,2022,Alaska,32.0,Good
8,2022,Alaska,15.8,Good
9,2022,Alaska,17.8,Good
10,2022,Alaska,23.8,Good
11,2022,Alaska,34.1,Good
12,2022,Alaska,42.3,Good
1,2023,Alaska,40.3,Good
2,2023,Alaska,28.0,Good
3,2023,Alaska,29.1,Good
4,2023,Alaska,25.0,Good
5,2023,Alaska,25.6,Good
6,2023,Alaska,20.0,Good
7,2023,Alaska,22.8,Good
8,2023,Alaska,30.1,Good
9,2023,Alaska,18.0,Good
10,2023,Alaska,29.3,Good
11,2023,Alaska,30.6,Good
12,2023,Alaska,36.6,Good
1,2024,Alaska,42.3,Good
2,2024,Alaska,35.9,Good
3,2024,Alaska,27.3,Good
4,2024,Alaska,29.1,Good
5,2024,Alaska,23.3,Good
6,2024,Alaska,32.1,Good
7,2024,Alaska,20.8,Good
8,2024,Alaska,20.2,Good
9,2024,Alaska,18.1,Good
10,2024,Alaska,27.0,Good
11,2024,Alaska,40.4,Good
12,2024,Alaska,44.4,Good
1,2025,Alaska,38.4,Good
2,2025,Alaska,46.1,Good
3,2025,Alaska,32.3,Good
4,2025,Alaska,37.9,Good
1,2020,Arizona,40.3,Good
2,2020,Arizona,46.5,Good
3,2020,Arizona,45.3,Good
4,2020,Arizona,55.2,Moderate
5,2020,Arizona,55.5,Moderate
6,2020,Arizona,52.6,Moderate
7,2020,Arizona,52.2,Moderate
8,2020,Arizona,72.2,Moderate
9,2020,Arizona,56.3,Moderate
10,2020,Arizona,63.1,Moderate
11,2020,Arizona,48.4,Good
12,2020,Arizona,44.6,Good
1,2021,Arizona,49.0,Good
2,2021,Arizona,42.2,Good
3,2021,Arizona,55.2,Moderate
4,2021,Arizona,63.3,Moderate
5,2021,Arizona,58.4,Moderate
6,2021,Arizona,59.7,Moderate
7,2021,Arizona,57.1,Moderate
8,2021,Arizona,49.9,Good
