Month,Year,State Name,Mean
1,2020,Alabama,14.0
2,2020,Alabama,12.0
3,2020,Alabama,17.0
4,2020,Alabama,17.6
5,2020,Alabama,16.2
6,2020,Alabama,23.2
7,2020,Alabama,20.9
8,2020,Alabama,20.4
9,2020,Alabama,20.6
10,2020,Alabama,20.2
11,2020,Alabama,19.1
12,2020,Alabama,19.1
1,2021,Alabama,16.6
2,2021,Alabama,16.6
3,2021,Alabama,21.6
4,2021,Alabama,21.2
5,2021,Alabama,16.8
6,2021,Alabama,17.1
7,2021,Alabama,22.7
8,2021,Alabama,21.9
9,2021,Alabama,19.9
10,2021,Alabama,17.5
11,2021,Alabama,16.9
12,2021,Alabama,16.7
1,2022,Alabama,14.5
2,2022,Alabama,17.9
3,2022,Alabama,20.2
4,2022,Alabama,20.3
5,2022,Alabama,20.6
6,2022,Alabama,22.6
7,2022,Alabama,17.2
8,2022,Alabama,16.3
9,2022,Alabama,19.1
10,2022,Alabama,20.5
11,2022,Alabama,15.5
12,2022,Alabama,13.3
1,2023,Alabama,12.4
2,2023,Alabama,17.6
3,2023,Alabama,20.4
4,2023,Alabama,18.3
5,2023,Alabama,18.9
6,2023,Alabama,23.9
7,2023,Alabama,23.2
8,2023,Alabama,22.0
9,2023,Alabama,21.8
10,2023,Alabama,20.6
11,2023,Alabama,20.5
12,2023,Alabama,15.2
1,2024,Alabama,13.0
2,2024,Alabama,18.9
3,2024,Alabama,17.9
4,2024,Alabama,19.9
5,2024,Alabama,17.0
6,2024,Alabama,18.8
7,2024,Alabama,18.2
8,2024,Alabama,25.0
9,2024,Alabama,17.1
10,2024,Alabama,26.0
11,2024,Alabama,15.4
12,2024,Alabama,15.2
1,2025,Alabama,15.7
2,2025,Alabama,17.2
3,2025,Alabama,23.4
1,2020,Alaska,10.7
2,2020,Alaska,7.3
3,2020,Alaska,10.1
4,2020,Alaska,13.7
5,2020,Alaska,14.7
6,2020,Alaska,9.0
7,2020,Alaska,8.9
8,2020,Alaska,8.5
9,2020,Alaska,9.2
10,2020,Alaska,13.0
11,2020,Alaska,12.4
12,2020,Alaska,8.8
1,2021,Alaska,11.6
2,2021,Alaska,9.0
3,2021,Alaska,8.5
4,2021,Alaska,21.9
5,2021,Alaska,14.2
6,2021,Alaska,9.1
7,2021,Alaska,11.1
8,2021,Alaska,8.4
9,2021,Alaska,9.7
10,2021,Alaska,13.2
11,2021,Alaska,11.2
12,2021,Alaska,9.3
1,2022,Alaska,10.5
2,2022,Alaska,6.2
3,2022,Alaska,12.7
4,2022,Alaska,22.3
5,2022,Alaska,14.6
6,2022,Alaska,23.4
7,2022,Alaska,15.3
8,2022,Alaska,6.9
9,2022,Alaska,6.7
10,2022,Alaska,14.3
11,2022,Alaska,9.7
12,2022,Alaska,10.7
1,2023,Alaska,9.2
2,2023,Alaska,6.7
3,2023,Alaska,13.2
4,2023,Alaska,18.0
5,2023,Alaska,15.2
6,2023,Alaska,9.9
7,2023,Alaska,9.1
8,2023,Alaska,14.4
9,2023,Alaska,8.6
10,2023,Alaska,16.0
11,2023,Alaska,8.0
