Month,Year,State Name,Mean
1,2020,Alabama,6.1
2,2020,Alabama,5.8
3,2020,Alabama,8.8
4,2020,Alabama,8.1
5,2020,Alabama,6.3
6,2020,Alabama,10.5
7,2020,Alabama,7.9
8,2020,Alabama,8.6
9,2020,Alabama,7.9
10,2020,Alabama,8.4
11,2020,Alabama,8.4
12,2020,Alabama,9.6
1,2021,Alabama,7.2
2,2021,Alabama,8.6
3,2021,Alabama,9.3
4,2021,Alabama,8.7
5,2021,Alabama,8.0
6,2021,Alabama,7.8
7,2021,Alabama,9.5
8,2021,Alabama,10.1
9,2021,Alabama,7.6
10,2021,Alabama,7.7
11,2021,Alabama,8.3
12,2021,Alabama,7.7
1,2022,Alabama,7.2
2,2022,Alabama,9.2
3,2022,Alabama,7.9
4,2022,Alabama,7.8
5,2022,Alabama,8.3
6,2022,Alabama,10.3
7,2022,Alabama,7.5
8,2022,Alabama,7.1
9,2022,Alabama,8.3
10,2022,Alabama,8.6
11,2022,Alabama,9.1
12,2022,Alabama,6.4
1,2023,Alabama,6.7
2,2023,Alabama,8.2
3,2023,Alabama,10.2
4,2023,Alabama,7.1
5,2023,Alabama,9.8
6,2023,Alabama,12.3
7,2023,Alabama,11.1
8,2023,Alabama,9.7
9,2023,Alabama,9.0
10,2023,Alabama,6.6
11,2023,Alabama,7.8
12,2023,Alabama,6.5
1,2024,Alabama,5.8
2,2024,Alabama,8.5
3,2024,Alabama,8.0
4,2024,Alabama,8.0
5,2024,Alabama,7.6
6,2024,Alabama,8.5
7,2024,Alabama,7.3
8,2024,Alabama,10.6
9,2024,Alabama,7.0
10,2024,Alabama,9.2
11,2024,Alabama,7.0
12,2024,Alabama,7.2
1,2025,Alabama,6.6
2,2025,Alabama,8.3
3,2025,Alabama,8.6
1,2020,Alaska,14.4
2,2020,Alaska,8.6
3,2020,Alaska,6.0
4,2020,Alaska,4.0
5,2020,Alaska,3.6
6,2020,Alaska,2.6
7,2020,Alaska,3.7
8,2020,Alaska,3.0
9,2020,Alaska,3.8
10,2020,Alaska,6.6
11,2020,Alaska,11.7
12,2020,Alaska,10.0
1,2021,Alaska,15.1
2,2021,Alaska,9.0
3,2021,Alaska,6.0
4,2021,Alaska,4.3
5,2021,Alaska,3.1
6,2021,Alaska,3.3
7,2021,Alaska,5.9
8,2021,Alaska,3.8
9,2021,Alaska,3.4
10,2021,Alaska,4.5
11,2021,Alaska,8.0
12,2021,Alaska,9.8
1,2022,Alaska,11.4
2,2022,Alaska,5.5
3,2022,Alaska,4.2
4,2022,Alaska,3.5
5,2022,Alaska,3.0
6,2022,Alaska,14.7
7,2022,Alaska,11.3
8,2022,Alaska,2.4
9,2022,Alaska,2.8
10,2022,Alaska,4.2
11,2022,Alaska,8.7
12,2022,Alaska,12.4
1,2023,Alaska,10.9
2,2023,Alaska,5.8
3,2023,Alaska,5.6
4,2023,Alaska,3.0
5,2023,Alaska,3.3
6,2023,Alaska,2.8
7,2023,Alaska,5.0
8,2023,Alaska,10.6
9,2023,Alaska,3.0
10,2023,Alaska,6.3
11,2023,Alaska,7.0
12,2023,Alaska,9.1
1,2024,Alaska,14.1
2,2024,Alaska,10.8
3,2024,Alaska,5.5
4,2024,Alaska,3.3
5,2024,Alaska,3.1
6,2024,Alaska,14.4
7,2024,Alaska,4.8
8,2024,Alaska,2.5
9,2024,Alaska,2.5
10,2024,Alaska,5.1
11,2024,Alaska,9.4
12,2024,Alaska,11.4
1,2025,Alaska,10.9
2,2025,Alaska,10.5
3,2025,Alaska,5.1
1,2020,Arizona,10.6
2,2020,Arizona,7.3
3,2020,Arizona,4.2
4,2020,Arizona,5.4
5,2020,Arizona,6.7
6,2020,Arizona,6.7
7,2020,Arizona,7.1
8,2020,Arizona,9.7
9,2020,Arizona,10.7
10,2020,Arizona,11.7
11,2020,Arizona,11.4
12,2020,Arizona,12.8
1,2021,Arizona,12.2
2,2021,Arizona,7.6
3,2021,Arizona,5.9
4,2021,Arizona,6.9
5,2021,Arizona,7.3
6,2021,Arizona,8.9
7,2021,Arizona,7.2
8,2021,Arizona,6.7
9,2021,Arizona,8.2
10,2021,Arizona,8.2
11,2021,Arizona,11.3
12,2021,Arizona,10.2
1,2022,Arizona,9.8
2,2022,Arizona,7.9
3,2022,Arizona,6.9
4,2022,Arizona,9.0
5,2022,Arizona,7.9
6,2022,Arizona,7.4
7,2022,Arizona,5.9
8,2022,Arizona,4.6
9,2022,Arizona,4.9
10,2022,Arizona,5.5
11,2022,Arizona,8.6
12,2022,Arizona,12.7
1,2023,Arizona,8.5
2,2023,Arizona,6.1
3,2023,Arizona,5.0
4,2023,Arizona,7.1
5,2023,Arizona,5.9
6,2023,Arizona,6.2
7,2023,Arizona,7.5
8,2023,Arizona,5.6
9,2023,Arizona,5.6
10,2023,Arizona,7.9
11,2023,Arizona,8.3
12,2023,Arizona,12.1
1,2024,Arizona,10.8
2,2024,Arizona,6.2
3,2024,Arizona,5.1
4,2024,Arizona,5.7
5,2024,Arizona,6.0
6,2024,Arizona,7.1
7,2024,Arizona,7.7
8,2024,Arizona,5.2
9,2024,Arizona,7.1
10,2024,Arizona,9.5
11,2024,Arizona,9.9
12,2024,Arizona,15.1
1,2025,Arizona,13.9
2,2025,Arizona,9.2
3,2025,Arizona,6.5
4,2025,Arizona,6.0
5,2025,Arizona,6.2
6,2025,Arizona,6.3
1,2020,Arkansas,6.8
2,2020,Arkansas,4.5
3,2020,Arkansas,7.3
4,2020,Arkansas,6.9
5,2020,Arkansas,5.6
6,2020,Arkansas,10.6
7,2020,Arkansas,9.6
8,2020,Arkansas,8.8
9,2020,Arkansas,9.3
10,2020,Arkansas,8.4
11,2020,Arkansas,8.0
12,2020,Arkansas,8.5
1,2021,Arkansas,6.2
2,2021,Arkansas,6.6
3,2021,Arkansas,9.1
4,2021,Arkansas,8.3
5,2021,Arkansas,7.9
6,2021,Arkansas,9.2
7,2021,Arkansas,12.0
8,2021,Arkansas,13.7
9,2021,Arkansas,10.9
10,2021,Arkansas,8.3
11,2021,Arkansas,10.1
12,2021,Arkansas,10.9
1,2022,Arkansas,7.5
2,2022,Arkansas,8.2
3,2022,Arkansas,7.3
4,2022,Arkansas,7.1
5,2022,Arkansas,9.2
6,2022,Arkansas,13.5
7,2022,Arkansas,10.4
8,2022,Arkansas,7.6
9,2022,Arkansas,8.8
10,2022,Arkansas,8.0
11,2022,Arkansas,8.2
12,2022,Arkansas,5.5
1,2023,Arkansas,6.7
2,2023,Arkansas,8.2
3,2023,Arkansas,7.7
4,2023,Arkansas,7.5
5,2023,Arkansas,11.4
6,2023,Arkansas,14.8
7,2023,Arkansas,13.3
8,2023,Arkansas,13.3
9,2023,Arkansas,15.9
10,2023,Arkansas,8.3
11,2023,Arkansas,8.1
12,2023,Arkansas,6.9
